gene_id	chr	strand	transcript_id
BBX	NC_000003.12	+	['NM_001142568.3 (MANE)', 'NM_001276286.2', 'NM_020235.7', 'XM_005247642.5', 'XM_005247643.5', 'XM_005247644.5', 'XM_011513000.3', 'XM_011513001.3', 'XM_024453644.2', 'XM_024453645.2', 'XM_024453646.2', 'XM_024453647.2', 'XM_024453648.2', 'XM_024453649.2', 'XM_024453651.2', 'XM_024453653.2', 'XM_024453656.2', 'XM_024453657.2', 'XM_024453658.2', 'XM_024453661.2', 'XM_024453662.2', 'XM_024453663.2', 'XM_024453664.2', 'XM_024453665.2', 'XM_024453667.2', 'XM_047448597.1', 'XM_047448598.1', 'XM_047448599.1', 'XM_047448600.1']
BCAM	NC_000019.10	+	['NM_005581.5 (MANE)', 'NM_001013257.2']
BCAN	NC_000001.11	+	['NM_021948.5 (MANE)', 'NM_198427.2', 'XM_011509866.1', 'XM_017002047.2']
BCAP29	NC_000007.14	+	['NM_018844.4 (MANE)', 'NM_001008405.4', 'NM_001363482.1', 'NM_001363483.2', 'NM_001371353.1', 'NM_001371354.1', 'NM_001371355.1', 'NM_001371356.1', 'NM_001371357.1']
BCAP31	NC_000023.11	-	['NM_001256447.2 (MANE)', 'NM_001139441.1', 'NM_001139457.2', 'NM_005745.8']
BCAR1	NC_000016.10	-	['NM_014567.5 (MANE)', 'NM_001170714.3', 'NM_001170715.3', 'NM_001170716.3', 'NM_001170717.3', 'NM_001170718.3', 'NM_001170719.3', 'NM_001170720.3', 'NM_001170721.3']
BCAR3	NC_000001.11	-	['NM_003567.4 (MANE)', 'NM_001261408.2', 'NM_001261409.1', 'NM_001261410.2', 'NM_001308251.1', 'NM_001412043.1', 'NM_001412044.1', 'NM_001412045.1', 'NM_001412046.1', 'NM_001412048.1', 'NM_001412049.1', 'NM_001412050.1', 'NM_001412051.1', 'NM_001412052.1', 'NM_001412054.1', 'NM_001412055.1', 'NM_001412056.1', 'NM_001412057.1', 'NM_001412058.1', 'NM_001412059.1', 'NM_001412060.1', 'NM_001412061.1', 'NM_001412062.1', 'NM_001412064.1', 'NM_001412065.1', 'NM_001412066.1', 'NM_001412067.1', 'NM_001412072.1', 'NM_001412073.1', 'NM_001412074.1', 'NM_001412075.1', 'NM_001412076.1', 'NM_001412077.1']
BCAS1	NC_000020.11	-	['NM_001366298.2 (MANE)', 'NM_001316361.3', 'NM_001323347.2', 'NM_001366295.2', 'NM_001366296.2', 'NM_001366297.2', 'NM_003657.4', 'XM_005260589.4', 'XM_005260590.4', 'XM_005260591.4', 'XM_005260594.4', 'XM_005260595.4', 'XM_011529090.4', 'XM_011529091.4', 'XM_017028111.3', 'XM_047440566.1', 'XM_047440567.1', 'XM_047440568.1', 'XM_047440569.1']
BCAS2	NC_000001.11	-	['NM_005872.3 (MANE)']
BCAS3	NC_000017.11	+	['NM_017679.5 (MANE)', 'NM_001099432.3', 'NM_001320470.3', 'NM_001330413.2', 'NM_001330414.2', 'NM_001353144.2', 'NM_001353145.2', 'NM_001353146.2']
BCAS4	NC_000020.11	+	['NM_198799.4 (MANE)', 'NM_001010974.2', 'NM_017843.4', 'XM_011528886.3', 'XM_011528887.3', 'XM_017027932.2', 'XM_047440278.1']
BCAT1	NC_000012.12	-	['NM_005504.7 (MANE)', 'NM_001178091.2', 'NM_001178092.2', 'NM_001178093.2', 'NM_001178094.2', 'NM_001413086.1', 'NM_001413087.1', 'NM_001413088.1', 'NM_001413089.1', 'NM_001413090.1', 'NM_001413091.1', 'NM_001413092.1', 'NM_001413093.1', 'NM_001413094.1', 'NM_001413095.1', 'NM_001413096.1', 'NM_001413097.1', 'NM_001413098.1', 'NM_001413099.1', 'NM_001413100.1', 'NM_001413101.1', 'NM_001413102.1', 'NM_001413103.1', 'NM_001413104.1', 'NM_001413105.1', 'NM_001413106.1', 'NM_001413107.1', 'XM_047429277.1', 'XM_047429278.1', 'XM_047429279.1', 'XM_047429280.1']
BCAT2	NC_000019.10	-	['NM_001190.4 (MANE)', 'NM_001164773.2', 'NM_001284325.2']
BCCIP	NC_000010.11	+	['NM_078468.3 (MANE)', 'NM_016567.4', 'NM_078469.3']
BCDIN3D	NC_000012.12	-	['NM_181708.3 (MANE)']
BCHE	NC_000003.12	-	['NM_000055.4 (MANE)']
BCKDHA	NC_000019.10	+	['NM_000709.4 (MANE)', 'NM_001164783.2']
BCKDHB	NC_000006.12	+	['NM_183050.4 (MANE)', 'NM_000056.5', 'NM_001318975.1', 'NM_001424035.1', 'NM_001424036.1', 'NM_001424037.1', 'NM_001424038.1', 'NM_001424039.1', 'NM_001424040.1', 'NM_001424041.1', 'NM_001424042.1', 'NM_001424043.1', 'NM_001424044.1', 'NM_001424045.1', 'XM_005248756.6', 'XM_047419207.1', 'XM_047419210.1', 'XM_047419211.1', 'XM_047419212.1', 'XM_047419213.1', 'XM_047419214.1']
BCKDK	NC_000016.10	+	['NM_005881.4 (MANE)', 'NM_001122957.4', 'NM_001271926.3', 'XM_017022859.2']
BCL10	NC_000001.11	-	['NM_003921.5 (MANE)', 'NM_001320715.2', 'XM_011542397.4', 'XM_011542398.3', 'XM_011542399.3']
BCL11A	NC_000002.12	-	['NM_022893.4 (MANE)', 'NM_001363864.1', 'NM_001365609.1', 'NM_001405708.1', 'NM_001405709.1', 'NM_001405710.1', 'NM_001405711.1', 'NM_001405712.1', 'NM_001405713.1', 'NM_001405714.1', 'NM_001405715.1', 'NM_001405716.1', 'NM_001405717.1', 'NM_001405718.1', 'NM_001405719.1', 'NM_001405720.1', 'NM_001405721.1', 'NM_001405722.1', 'NM_001405723.1', 'NM_001405724.1', 'NM_001405725.1', 'NM_001405726.1', 'NM_001405727.1', 'NM_001405728.1', 'NM_001405729.1', 'NM_001405730.1', 'NM_001405731.1', 'NM_001405732.1', 'NM_001405733.1', 'NM_001405734.1', 'NM_001405735.1', 'NM_001405736.1', 'NM_018014.4', 'NM_138559.2', 'XM_024452963.2', 'XM_047444761.1']
BCL11B	NC_000014.9	-	['NM_138576.4 (MANE)', 'NM_001282237.2', 'NM_001282238.2', 'NM_022898.3', 'XM_047431707.1', 'XM_047431708.1']
BCL2	NC_000018.10	-	['NM_000633.3 (MANE)', 'NM_000657.3', 'XM_011526135.4', 'XM_017025917.3', 'XM_047437733.1', 'XM_047437734.1']
BCL2A1	NC_000015.10	-	['NM_004049.4 (MANE)', 'NM_001114735.2']
BCL2L1	NC_000020.11	-	['NM_138578.3 (MANE)', 'NM_001191.4', 'NM_001317919.2', 'NM_001317920.2', 'NM_001317921.2', 'NM_001322239.2', 'NM_001322240.2', 'NM_001322242.2', 'NM_001424331.1', 'NM_001424332.1']
BCL2L10	NC_000015.10	-	['NM_020396.4 (MANE)', 'NM_001306168.1']
BCL2L11	NC_000002.12	+	['NM_138621.5 (MANE)', 'NM_001204106.2', 'NM_001204107.1', 'NM_001204108.1', 'NM_001204109.2', 'NM_001204110.2', 'NM_001204111.2', 'NM_001204112.2', 'NM_001204113.1', 'NM_006538.5', 'NM_138622.4', 'NM_138623.4', 'NM_138624.4', 'NM_138625.4', 'NM_138626.4', 'NM_138627.4', 'NM_207002.3', 'NM_207003.3', 'XM_005263552.5', 'XM_005263553.4', 'XM_005263555.5', 'XM_005263556.4', 'XM_005263557.5', 'XM_005263559.4', 'XM_011510461.4', 'XM_011510464.4', 'XM_017003101.3', 'XM_047442099.1', 'XM_047442101.1', 'XM_047442102.1', 'XM_047442104.1']
BCL2L12	NC_000019.10	+	['NM_138639.2 (MANE)', 'NM_001040668.2', 'NM_001282516.2', 'NM_001282517.2', 'NM_001282519.2', 'NM_001282520.1', 'NM_001282521.2', 'NM_001385706.1']
BCL2L13	NC_000022.11	+	['NM_015367.4 (MANE)', 'NM_001270726.1', 'NM_001270727.1', 'NM_001270728.2', 'NM_001270729.2', 'NM_001270730.2', 'NM_001270731.2', 'NM_001270732.2', 'NM_001270733.2', 'NM_001270734.2', 'NM_001270735.2', 'NM_001363824.1', 'XM_011546119.2', 'XM_011546120.2', 'XM_017028725.2', 'XM_047441286.1', 'XM_047441287.1', 'XM_047441288.1', 'XM_047441289.1', 'XM_047441290.1', 'XM_047441291.1', 'XM_047441292.1', 'XM_047441293.1', 'XM_047441294.1']
BCL2L14	NC_000012.12	+	['NM_138723.2 (MANE)', 'NM_001370268.1', 'NM_001370269.1', 'NM_030766.2', 'NM_138722.2']
BCL2L15	NC_000001.11	-	['NM_001010922.3 (MANE)']
BCL2L2	NC_000014.9	+	['NM_004050.5 (MANE)', 'NM_001199839.2']
BCL2L2-PABPN1	NC_000014.9	+	['NM_001199864.3', 'NM_001387340.1', 'NM_001387341.1', 'NM_001387342.1', 'NM_001387343.1', 'NM_001387344.1', 'NM_001387345.1', 'NM_001387346.1']
BCL3	NC_000019.10	+	['NM_005178.5 (MANE)', 'XM_011527198.4', 'XM_017027110.2']
BCL6	NC_000003.12	-	['NM_001706.5 (MANE)', 'NM_001130845.2', 'NM_001134738.1', 'XM_005247694.5', 'XM_011513062.4', 'XM_047448655.1']
BCL6B	NC_000017.11	+	['NM_181844.4 (MANE)']
BCL7A	NC_000012.12	+	['NM_001024808.3 (MANE)', 'NM_020993.5']
BCL7B	NC_000007.14	-	['NM_001707.4 (MANE)', 'NM_001197244.2', 'NM_001301061.2', 'XM_047421029.1']
BCL7C	NC_000016.10	-	['NM_004765.4 (MANE)', 'NM_001286526.2', 'XM_011545980.4', 'XM_047434896.1', 'XM_047434897.1', 'XM_047434898.1', 'XM_047434899.1', 'XM_047434900.1']
BCL9	NC_000001.11	+	['NM_004326.4 (MANE)']
BCL9L	NC_000011.10	-	['NM_001378213.1 (MANE)', 'NM_001378214.1', 'NM_182557.4', 'XM_005271513.4', 'XM_006718815.4', 'XM_011542756.3', 'XM_047426800.1']
BCLAF1	NC_000006.12	-	['NM_014739.3 (MANE)', 'NM_001077440.3', 'NM_001077441.3', 'NM_001301038.3', 'NM_001363659.3', 'NM_001386693.1', 'NM_001386694.1', 'NM_001386695.1', 'NM_001386696.1', 'NM_001386697.1', 'NM_001386698.1', 'NM_001386699.1', 'NM_001386700.1', 'NM_001386701.1', 'NM_001386702.1', 'NM_001386703.1', 'NM_001386704.1']
BCLAF3	NC_000023.11	-	['NM_001367774.2 (MANE)', 'NM_198279.4', 'XM_005274473.4', 'XM_005274475.4', 'XM_011545476.3', 'XM_011545477.3', 'XM_011545478.2', 'XM_011545482.3', 'XM_017029390.1', 'XM_017029391.1', 'XM_017029392.2', 'XM_047441962.1', 'XM_047441963.1', 'XM_047441964.1', 'XM_047441965.1', 'XM_047441966.1', 'XM_047441967.1', 'XM_047441968.1', 'XM_047441969.1', 'XM_047441970.1', 'XM_047441971.1', 'XM_047441972.1', 'XM_047441973.1', 'XM_047441974.1', 'XM_047441975.1', 'XM_047441976.1', 'XM_047441977.1', 'XM_047441978.1', 'XM_047441979.1', 'XM_047441980.1', 'XM_047441981.1', 'XM_047441982.1']
BCO1	NC_000016.10	+	['NM_017429.3 (MANE)', 'XM_011523109.3', 'XM_017023286.3', 'XM_017023287.3', 'XM_017023288.3', 'XM_017023289.2', 'XM_047434214.1']
BCO2	NC_000011.10	+	['NM_031938.7 (MANE)', 'NM_001037290.4', 'NM_001256397.3', 'NM_001256398.3', 'NM_001256400.3']
BCOR	NC_000023.11	-	['NM_001123385.2 (MANE)', 'NM_001123383.1', 'NM_001123384.2', 'NM_017745.6', 'XM_005272616.2', 'XM_005272618.4', 'XM_005272619.5', 'XM_005272620.5', 'XM_006724536.4', 'XM_011543929.3', 'XM_011543930.2', 'XM_011543931.3', 'XM_017029615.2', 'XM_017029616.3', 'XM_047442196.1', 'XM_047442197.1', 'XM_047442198.1', 'XM_047442199.1', 'XM_047442200.1', 'XM_047442201.1', 'XM_047442202.1', 'XM_047442203.1', 'XM_047442204.1', 'XM_047442205.1', 'XM_047442206.1', 'XM_047442207.1', 'XM_047442208.1', 'XM_047442209.1', 'XM_047442210.1', 'XM_047442211.1', 'XM_047442212.1', 'XM_047442213.1', 'XM_047442214.1', 'XM_047442215.1', 'XM_047442216.1', 'XM_047442217.1', 'XM_047442218.1', 'XM_047442219.1', 'XM_047442220.1', 'XM_047442221.1', 'XM_047442222.1', 'XM_047442223.1', 'XM_047442224.1', 'XM_047442225.1', 'XM_047442226.1', 'XM_047442227.1', 'XM_047442228.1']
BCORL1	NC_000023.11	+	['NM_001379451.1 (MANE)', 'NM_001184772.3', 'NM_001379450.1', 'NM_021946.5', 'XM_005262453.5', 'XM_005262455.5', 'XM_005262456.5', 'XM_006724776.4', 'XM_006724777.4', 'XM_017029721.2', 'XM_017029722.2', 'XM_047442339.1', 'XM_047442340.1', 'XM_047442341.1', 'XM_047442342.1', 'XM_047442343.1', 'XM_047442344.1', 'XM_047442345.1', 'XM_047442346.1', 'XM_047442347.1']
BCR	NC_000022.11	+	['NM_004327.4 (MANE)', 'NM_021574.3']
BCS1L	NC_000002.12	+	['NM_001079866.2 (MANE)', 'NM_001257342.2', 'NM_001257343.2', 'NM_001257344.2', 'NM_001318836.2', 'NM_001320717.2', 'NM_001371443.1', 'NM_001371444.1', 'NM_001371446.1', 'NM_001371447.1', 'NM_001371448.1', 'NM_001371449.1', 'NM_001371450.1', 'NM_001371451.1', 'NM_001371452.1', 'NM_001371453.1', 'NM_001371454.1', 'NM_001371455.1', 'NM_001371456.1', 'NM_001374085.1', 'NM_001374086.1', 'NM_004328.5', 'XM_047445384.1', 'XM_047445385.1', 'XM_047445387.1', 'XM_047445388.1', 'XM_047445389.1', 'XM_047445390.1']
BDH1	NC_000003.12	-	['NM_203314.3 (MANE)', 'NM_004051.5', 'NM_203315.3', 'XM_005269352.4', 'XM_011513067.4', 'XM_017007015.2', 'XM_047448679.1', 'XM_047448680.1', 'XM_047448681.1', 'XM_047448682.1']
BDH2	NC_000004.12	-	['NM_020139.4 (MANE)', 'XM_005263140.4', 'XM_006714274.4', 'XM_047415981.1', 'XM_047415982.1', 'XM_047415983.1', 'XM_047415984.1', 'XM_047415985.1', 'XM_047415986.1']
BDKRB1	NC_000014.9	+	['NM_000710.4 (MANE)', 'NM_001386007.1']
BDKRB2	NC_000014.9	+	['NM_001379692.1 (MANE)', 'NM_000623.4']
BDNF	NC_000011.10	-	['NM_001709.5 (MANE)', 'NM_001143805.1', 'NM_001143806.1', 'NM_001143807.2', 'NM_001143808.2', 'NM_001143809.2', 'NM_001143810.2', 'NM_001143811.2', 'NM_001143812.2', 'NM_001143813.2', 'NM_001143814.2', 'NM_001143816.2', 'NM_170731.5', 'NM_170732.4', 'NM_170733.4', 'NM_170734.4', 'NM_170735.6']
BDP1	NC_000005.10	+	['NM_018429.3 (MANE)', 'XM_011543511.4', 'XM_011543512.3', 'XM_017009630.2', 'XM_017009631.2', 'XM_047417372.1', 'XM_047417373.1', 'XM_047417374.1', 'XM_047417375.1']
BEAN1	NC_000016.10	+	['NM_001178020.3 (MANE)', 'NM_001136106.5', 'NM_001197224.4', 'XM_011522883.2', 'XM_011522884.2', 'XM_011522885.4', 'XM_011522894.2']
BECN1	NC_000017.11	-	['NM_001313998.2 (MANE)', 'NM_001313999.1', 'NM_001314000.2', 'NM_003766.5', 'XM_005257759.4', 'XM_005257760.5', 'XM_017025263.3', 'XM_017025264.3']
BECN2	NC_000001.11	+	['NM_001290693.1 (MANE)']
BEGAIN	NC_000014.9	-	['NM_001385089.1 (MANE)', 'NM_001159531.2', 'NM_001385082.1', 'NM_001385083.1', 'NM_001385084.1', 'NM_001385085.1', 'NM_001385086.1', 'NM_001385087.1', 'NM_001385088.1', 'NM_001385090.1', 'NM_001385091.1', 'NM_001385092.1', 'NM_001385093.1', 'NM_001385094.1', 'NM_001385095.1', 'NM_001385096.1', 'NM_001385097.1', 'NM_001385098.1', 'NM_001385099.1', 'NM_001385100.1', 'NM_001385101.1', 'NM_001385102.1', 'NM_001385103.1', 'NM_001385104.1', 'NM_020836.4', 'XM_024449670.2', 'XM_024449671.2', 'XM_047431629.1', 'XM_047431630.1']
BEND2	NC_000023.11	-	['NM_153346.5 (MANE)', 'NM_001184767.2', 'XM_011545447.2', 'XM_017029266.2', 'XM_017029267.2']
BEND3	NC_000006.12	-	['NM_001367314.1 (MANE)', 'NM_001080450.3', 'XM_005267080.5', 'XM_011536005.4']
BEND4	NC_000004.12	-	['NM_207406.4 (MANE)', 'NM_001159547.2', 'XM_017008185.2']
BEND5	NC_000001.11	-	['NM_024603.4 (MANE)', 'NM_001302082.2', 'NM_001349793.2', 'NM_001349794.2', 'NM_001349795.2', 'XM_011542141.4', 'XM_017002333.3', 'XM_047430497.1', 'XM_047430505.1', 'XM_047430520.1']
BEND6	NC_000006.12	+	['NM_152731.3 (MANE)', 'NM_001318539.2', 'XM_005248889.2', 'XM_017010406.2', 'XM_017010407.3', 'XM_047418320.1', 'XM_047418321.1', 'XM_047418322.1', 'XM_047418323.1', 'XM_047418324.1']
BEND7	NC_000010.11	-	['NM_001369863.1 (MANE)', 'NM_001100912.2', 'NM_001370075.2', 'NM_001378149.1', 'NM_001378150.1', 'NM_001378151.1', 'NM_001387359.1', 'NM_152751.3', 'XM_005252402.6', 'XM_011519390.3', 'XM_011519391.3', 'XM_011519392.3', 'XM_011519393.4', 'XM_011519395.3', 'XM_011519396.3', 'XM_011519398.3', 'XM_011519399.3', 'XM_011519400.3', 'XM_011519402.3', 'XM_011519403.3', 'XM_011519404.4', 'XM_011519407.2', 'XM_011519411.3', 'XM_011519412.2', 'XM_047424785.1', 'XM_047424786.1', 'XM_047424787.1', 'XM_047424788.1', 'XM_047424789.1', 'XM_047424790.1', 'XM_047424792.1', 'XM_047424793.1', 'XM_047424794.1', 'XM_047424795.1', 'XM_047424796.1', 'XM_047424797.1', 'XM_047424798.1', 'XM_047424799.1', 'XM_047424800.1', 'XM_047424801.1', 'XM_047424803.1']
BEST1	NC_000011.10	+	['NM_004183.4 (MANE)', 'NM_001139443.2', 'NM_001300786.2', 'NM_001300787.2', 'NM_001363591.2', 'NM_001363592.1', 'NM_001363593.2', 'XM_005274210.5', 'XM_005274221.5', 'XM_047427523.1']
BEST2	NC_000019.10	+	['NM_017682.3 (MANE)']
BEST3	NC_000012.12	-	['NM_032735.3 (MANE)', 'NM_001282613.2', 'NM_001282614.2', 'NM_001282615.2', 'NM_001282616.2', 'NM_152439.4', 'XM_011537961.2', 'XM_011537962.3', 'XM_011537963.2', 'XM_011537965.3', 'XM_047428376.1', 'XM_047428378.1', 'XM_047428379.1', 'XM_047428380.1', 'XM_047428381.1', 'XM_047428382.1', 'XM_047428383.1']
BEST4	NC_000001.11	-	['NM_153274.3 (MANE)', 'XM_017001023.2', 'XM_024446367.1', 'XM_047417821.1', 'XM_047417823.1', 'XM_047417826.1']
BET1	NC_000007.14	-	['NM_005868.6 (MANE)', 'NM_001317739.2']
BET1L	NC_000011.10	-	['NM_001098787.2 (MANE)', 'NM_016526.5']
BEX1	NC_000023.11	-	['NM_018476.4 (MANE)']
BEX2	NC_000023.11	-	['NM_032621.4 (MANE)', 'NM_001168399.2', 'NM_001168400.2', 'NM_001168401.2']
BEX3	NC_000023.11	+	['NM_206917.3 (MANE)', 'NM_001282674.1', 'NM_014380.3', 'NM_206915.3']
BEX4	NC_000023.11	+	['NM_001080425.4 (MANE)', 'NM_001127688.2']
BEX5	NC_000023.11	-	['NM_001012978.3 (MANE)', 'NM_001159560.2']
BFAR	NC_000016.10	+	['NM_016561.3 (MANE)', 'NM_001330500.2', 'XM_005255350.3']
BFSP1	NC_000020.11	-	['NM_001195.5 (MANE)', 'NM_001161705.2', 'NM_001278606.2', 'NM_001278607.2', 'NM_001278608.2', 'NM_001424338.1']
BFSP2	NC_000003.12	+	['NM_003571.4 (MANE)', 'XM_017007315.2']
BGLAP	NC_000001.11	+	['NM_199173.6 (MANE)']
BGN	NC_000023.11	+	['NM_001711.6 (MANE)', 'XM_017029724.3']
BHLHA15	NC_000007.14	+	['NM_177455.4 (MANE)']
BHLHA9	NC_000017.11	+	['NM_001164405.2 (MANE)']
BHLHE22	NC_000008.11	+	['NM_152414.5 (MANE)']
BHLHE23	NC_000020.11	-	['NM_080606.4 (MANE)']
BHLHE40	NC_000003.12	+	['NM_003670.3 (MANE)']
BHLHE41	NC_000012.12	-	['NM_030762.3 (MANE)']
BHMT	NC_000005.10	+	['NM_001713.3 (MANE)']
BHMT2	NC_000005.10	+	['NM_017614.5 (MANE)', 'NM_001178005.2']
BICC1	NC_000010.11	+	['NM_001080512.3 (MANE)', 'XM_005270169.6', 'XM_011540185.3', 'XM_011540191.3', 'XM_017016677.2', 'XM_017016678.2', 'XM_024448174.1', 'XM_024448175.2', 'XM_047425777.1', 'XM_047425778.1', 'XM_047425779.1', 'XM_047425780.1', 'XM_047425781.1']
BICD1	NC_000012.12	+	['NM_001714.4 (MANE)', 'NM_001003398.3', 'NM_001354186.2', 'NM_001354187.2', 'NM_001354188.2', 'NM_001354189.2', 'NM_001363603.2', 'NM_001413155.1', 'NM_001413156.1', 'NM_001413157.1', 'NM_001413158.1', 'NM_001413159.1', 'NM_001413160.1', 'NM_001413161.1', 'NM_001413163.1', 'NM_001413164.1', 'NM_001413165.1', 'NM_001413166.1', 'NM_001413167.1', 'NM_001413168.1', 'NM_001413169.1', 'NM_001413170.1', 'NM_001413171.1', 'NM_001413172.1', 'NM_001413173.1', 'NM_001413174.1', 'NM_001413176.1', 'NM_001413177.1', 'NM_001413178.1', 'NM_001413179.1', 'NM_001413180.1', 'NM_001413181.1', 'NM_001413182.1', 'NM_001413183.1', 'XM_011520813.3', 'XM_011520814.4', 'XM_047429325.1']
BICD2	NC_000009.12	-	['NM_001003800.2 (MANE)', 'NM_015250.4', 'XM_017014551.2']
BICDL1	NC_000012.12	+	['NM_001367886.1 (MANE)', 'NM_207311.2', 'XM_006719694.4', 'XM_006719696.4', 'XM_006719697.4', 'XM_011538999.3', 'XM_011539000.2', 'XM_047429887.1', 'XM_047429888.1', 'XM_047429889.1', 'XM_047429890.1', 'XM_047429891.1']
BICDL2	NC_000016.10	-	['NM_001369667.1 (MANE)', 'NM_001103175.2', 'XM_005255135.5', 'XM_011522391.3']
BICRA	NC_000019.10	+	['NM_001394372.1 (MANE)', 'NM_015711.3']
BICRAL	NC_000006.12	+	['NM_001393499.1 (MANE)', 'NM_001318819.2', 'NM_015349.3', 'XM_024446390.2', 'XM_047418542.1', 'XM_047418543.1', 'XM_047418544.1', 'XM_047418545.1', 'XM_047418547.1']
BID	NC_000022.11	-	['NM_001196.4 (MANE)', 'NM_001244567.1', 'NM_001244569.1', 'NM_001244570.1', 'NM_001244572.1', 'NM_197966.3', 'NM_197967.2']
BIK	NC_000022.11	+	['NM_001197.5 (MANE)']
BIN1	NC_000002.12	-	['NM_139343.3 (MANE)', 'NM_001320632.2', 'NM_001320633.2', 'NM_001320634.1', 'NM_001320640.2', 'NM_001320641.2', 'NM_001320642.1', 'NM_004305.4', 'NM_139344.3', 'NM_139345.3', 'NM_139346.3', 'NM_139347.3', 'NM_139348.3', 'NM_139349.3', 'NM_139350.3', 'NM_139351.3']
BIN2	NC_000012.12	-	['NM_016293.4 (MANE)', 'NM_001290007.2', 'NM_001290008.2', 'NM_001290009.2', 'NM_001364779.1', 'NM_001364780.1', 'NM_001364781.1', 'XM_047428968.1']
BIN3	NC_000008.11	-	['NM_018688.6 (MANE)', 'NM_001363046.2', 'XM_011544587.2', 'XM_047421995.1']
BIRC2	NC_000011.10	+	['NM_001166.5 (MANE)', 'NM_001256163.1', 'NM_001256166.2']
BIRC3	NC_000011.10	+	['NM_001165.5 (MANE)', 'NM_182962.3']
BIRC5	NC_000017.11	+	['NM_001168.3 (MANE)', 'NM_001012270.2', 'NM_001012271.2']
BIRC6	NC_000002.12	+	['NM_016252.4 (MANE)', 'NM_001378125.1', 'XM_005264450.5', 'XM_005264451.5', 'XM_005264452.5', 'XM_005264453.5', 'XM_005264455.5', 'XM_006712054.4', 'XM_006712055.4', 'XM_006712056.4', 'XM_011533003.3', 'XM_017004556.2', 'XM_017004557.2', 'XM_017004558.2', 'XM_047445158.1', 'XM_047445159.1', 'XM_047445160.1', 'XM_047445161.1', 'XM_047445162.1', 'XM_047445163.1', 'XM_047445164.1', 'XM_047445165.1', 'XM_047445166.1', 'XM_047445167.1', 'XM_047445168.1', 'XM_047445169.1', 'XM_047445170.1', 'XM_047445171.1', 'XM_047445172.1', 'XM_047445173.1', 'XM_047445174.1', 'XM_047445175.1', 'XM_047445176.1', 'XM_047445177.1', 'XM_047445178.1', 'XM_047445179.1', 'XM_047445180.1', 'XM_047445181.1', 'XM_047445182.1', 'XM_047445183.1', 'XM_047445184.1', 'XM_047445185.1', 'XM_047445186.1', 'XM_047445187.1', 'XM_047445188.1', 'XM_047445189.1', 'XM_047445190.1', 'XM_047445191.1', 'XM_047445192.1', 'XM_047445193.1']
BIRC7	NC_000020.11	+	['NM_139317.3 (MANE)', 'NM_022161.4', 'XM_047440495.1']
BIVM	NC_000013.11	+	['NM_017693.4 (MANE)', 'NM_001159596.2']
BIVM-ERCC5	NC_000013.11	+	['NM_001204425.2']
BLACAT1	NC_000001.11	-	['NM_001397426.2 (MANE)', 'XM_047421188.1', 'XM_047421189.1', 'XM_047421190.1']
BLCAP	NC_000020.11	-	['NM_006698.4 (MANE)', 'NM_001167820.2', 'NM_001167821.2', 'NM_001167822.3', 'NM_001167823.2', 'NM_001317074.2', 'NM_001317075.2']
BLID	NC_000011.10	-	['NM_001001786.3 (MANE)']
BLK	NC_000008.11	+	['NM_001715.3 (MANE)', 'NM_001330465.2', 'XM_011543824.2', 'XM_011543825.4', 'XM_011543827.2', 'XM_011543828.4', 'XM_011543829.4', 'XM_047422081.1', 'XM_047422082.1', 'XM_047422083.1', 'XM_047422084.1']
BLM	NC_000015.10	+	['NM_000057.4 (MANE)', 'NM_001287246.2', 'NM_001287247.2', 'NM_001287248.2', 'XM_006720632.3', 'XM_011521882.4', 'XM_047432934.1']
BLMH	NC_000017.11	-	['NM_000386.4 (MANE)']
BLNK	NC_000010.11	-	['NM_013314.4 (MANE)', 'NM_001114094.2', 'NM_001258440.2', 'NM_001258441.2', 'NM_001258442.2']
BLOC1S1	NC_000012.12	+	['NM_001487.4 (MANE)']
BLOC1S2	NC_000010.11	-	['NM_173809.5 (MANE)', 'NM_001001342.2', 'NM_001282436.2', 'NM_001282437.2', 'NM_001282438.1', 'NM_001282439.2']
BLOC1S3	NC_000019.10	+	['NM_212550.5 (MANE)']
BLOC1S4	NC_000004.12	+	['NM_018366.3 (MANE)']
BLOC1S5	NC_000006.12	-	['NM_201280.3 (MANE)', 'NM_001199322.1', 'NM_001199323.1']
BLOC1S6	NC_000015.10	+	['NM_012388.4 (MANE)', 'NM_001311255.1', 'NM_001311256.1']
BLTP1	NC_000004.12	+	['NM_001384125.1 (MANE)', 'NM_015312.4', 'XM_005263282.2', 'XM_005263287.2', 'XM_006714344.2', 'XM_011532320.4', 'XM_011532322.2', 'XM_011532323.2', 'XM_011532324.2', 'XM_011532325.2', 'XM_011532326.2', 'XM_011532330.2', 'XM_017008695.2', 'XM_017008697.2', 'XM_017008698.2', 'XM_017008699.2', 'XM_024454243.1', 'XM_047416251.1', 'XM_047416252.1', 'XM_047416253.1', 'XM_047416254.1', 'XM_047416255.1', 'XM_047416256.1', 'XM_047416257.1', 'XM_047416258.1', 'XM_047416259.1', 'XM_047416260.1', 'XM_047416261.1', 'XM_047416262.1', 'XM_047416263.1', 'XM_047416264.1', 'XM_047416265.1', 'XM_047416266.1', 'XM_047416267.1', 'XM_047416268.1', 'XM_047416269.1', 'XM_047416270.1', 'XM_047416271.1', 'XM_047416272.1', 'XM_047416273.1', 'XM_047416275.1', 'XM_047416276.1', 'XM_047416277.1']
